activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.61Z,rue,CARNOT,LEVALLOIS-PERRET,92300,92,POINT (2.2933125 48.8561799),2.2933125,48.8561799
47.61Z,rue,ROBERT SCHUMAN,ENGHIEN-LES-BAINS,95880,95,POINT (2.2899544 48.8536669),2.2899544,48.8536669
47.61Z,rue,MALEBRANCHE,PARIS 5,75005,75,POINT (2.3615974 48.8654875),2.3615974,48.8654875
47.61Z,avenue,GUY DE MAUPASSANT,CHATOU,78400,78,POINT (2.3667308 48.8659584),2.3667308,48.8659584
47.61Z,rue,GABRIEL PERI,SAINT-DENIS,93200,93,POINT (2.3443842 48.8579631),2.3443842,48.8579631
47.61Z,rue,DE L ECOLE POLYTECHNIQUE,PARIS 5,75005,75,POINT (2.3393246 48.8432817),2.3393246,48.8432817
47.61Z,rue,DES POISSONNIERS,PARIS 18,75018,75,POINT (2.3439199 48.8525313),2.3439199,48.8525313
47.61Z,rue,SAINT CHARLES,PARIS 15,75015,75,POINT (2.3302255 48.864248),2.3302255,48.864248
47.61Z,avenue,VERDIER,MONTROUGE,92120,92,POINT (2.3400379 48.8841969),2.3400379,48.8841969
47.61Z,rue,LAVOISIER,PARIS 8,75008,75,POINT (1.8301216 48.6426652),1.8301216,48.6426652
47.61Z,rue,D ALSACE,PARIS 10,75010,75,POINT (2.324902 48.8848298),2.324902,48.8848298
47.61Z,rue,RAMBUTEAU,PARIS 4,75004,75,POINT (2.318765 48.8882843),2.318765,48.8882843
47.61Z,rue,VERNET,PONTAULT-COMBAULT,77340,77,POINT (2.3420204 48.8471936),2.3420204,48.8471936
47.61Z,rue,DE DUNKERQUE,PARIS 10,75010,75,POINT (2.2834513 48.859108),2.2834513,48.859108
47.61Z,rue,D AMSTERDAM,PARIS 9,75009,75,POINT (2.4839396 48.5946195),2.4839396,48.5946195
47.61Z,rue,DE L ODEON,PARIS 6,75006,75,POINT (2.4252217 48.7353918),2.4252217,48.7353918
47.61Z,rue,DES ROSIERS,SAINT-OUEN-SUR-SEINE,93400,93,POINT (2.3543464 48.8492569),2.3543464,48.8492569
47.61Z,rue,ROUVET,PARIS 19,75019,75,POINT (2.3227378 48.8711584),2.3227378,48.8711584
47.61Z,rue,DE VAUGIRARD,PARIS 15,75015,75,POINT (2.3217255 48.8718651),2.3217255,48.8718651
47.61Z,boulevard,SAINT MICHEL,PARIS 6,75006,75,POINT (2.3397736 48.8690652),2.3397736,48.8690652
47.61Z,rue,SERPENTE,PARIS 6,75006,75,POINT (2.3151492 48.8302061),2.3151492,48.8302061
47.61Z,avenue,DE SUFFREN,PARIS 15,75015,75,POINT (2.1814953 48.8736747),2.1814953,48.8736747
47.61Z,boulevard,DE GRENELLE,PARIS 15,75015,75,POINT (2.2681793 48.9152147),2.2681793,48.9152147
47.61Z,rue,DUPETIT THOUARS,PARIS 3,75003,75,POINT (2.3552126 48.8492733),2.3552126,48.8492733
47.61Z,boulevard,VOLTAIRE,PARIS 11,75011,75,POINT (2.3718374 48.8475344),2.3718374,48.8475344
47.61Z,quai,DE LA MEGISSERIE,PARIS 1,75001,75,POINT (2.3025502 48.8613187),2.3025502,48.8613187
47.61Z,rue,HENRI BARBUSSE,PARIS 5,75005,75,POINT (2.3349925 48.8571614),2.3349925,48.8571614
47.61Z,boulevard,SAINT MICHEL,PARIS 5,75005,75,POINT (2.3471928 48.6893097),2.3471928,48.6893097
47.61Z,rue,DE RIVOLI,PARIS 1,75001,75,POINT (2.6962228 48.2651885),2.6962228,48.2651885
47.61Z,rue,YVONNE LE TAC,PARIS 18,75018,75,POINT (2.3592085414456223 48.9365265),2.3592085414456223,48.9365265
47.61Z,rue,CHASLES,RAMBOUILLET,78120,78,POINT (2.3998519 48.8514565),2.3998519,48.8514565
47.61Z,rue,DES DAMES,PARIS 17,75017,75,POINT (2.3921869 49.0039323),2.3921869,49.0039323
47.61Z,rue,DES MOINES,PARIS 17,75017,75,POINT (2.3387294 48.8819877),2.3387294,48.8819877
47.61Z,rue,VICTOR COUSIN,PARIS 5,75005,75,POINT (2.3619753 48.8813376),2.3619753,48.8813376
47.61Z,chemin,DES BAS VIGNONS,CORBEIL-ESSONNES,91100,91,POINT (2.3599635 48.8343932),2.3599635,48.8343932
47.61Z,rue,DU GENERAL DE GAULLE,VILLENEUVE-LE-ROI,94290,94,POINT (2.3660425 48.879648),2.3660425,48.879648
47.61Z,boulevard,MALESHERBES,PARIS 8,75008,75,POINT (2.3630822 48.8737867),2.3630822,48.8737867
47.61Z,boulevard,MALESHERBES,PARIS 17,75017,75,POINT (2.1360798 48.8928624),2.1360798,48.8928624
47.61Z,rue,DE L ABBE CARTON,PARIS 14,75014,75,POINT (2.3830539 48.8135042),2.3830539,48.8135042
47.61Z,rue,DU CHATEAU,RUEIL-MALMAISON,92500,92,POINT (2.35038 48.8787165),2.35038,48.8787165
47.61Z,place,DE LA REPUBLIQUE,BOIS-COLOMBES,92270,92,POINT (2.3547228 48.8439193),2.3547228,48.8439193
47.61Z,boulevard,SAINT GERMAIN,PARIS 5,75005,75,POINT (2.3964188 48.8566591),2.3964188,48.8566591
47.61Z,rue,DE LYON,PARIS 12,75012,75,POINT (2.4200672 48.884366),2.4200672,48.884366
47.61Z,avenue,BOSQUET,PARIS 7,75007,75,POINT (2.326804 48.8708093),2.326804,48.8708093
