activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
10.71C,rue,CHARLES DE GAULLE,DAMMARIE-LES-LYS,77152,77,POINT (2.273586 48.8266696),48.8266696,2.273586
10.71C,avenue,KLEBER,PARIS 16,75116,75,POINT (2.361495 48.8609965),48.8609965,2.361495
10.71C,place,ST FERDINAND,PARIS 17,75117,75,POINT (2.2122808 48.8617172),48.8617172,2.2122808
10.71C,boulevard,NOEL MARC,ANDRESY,78015,78,POINT (2.2103093 48.8630687),48.8630687,2.2103093
10.71C,rue,DE PARIS,ORSAY,91471,91,POINT (2.2132144 48.8879477),48.8879477,2.2132144
10.71C,rue,MONTMARTRE,PARIS 2,75102,75,POINT (2.2122808 48.8617172),48.8617172,2.2122808
10.71C,rue,SAINT LOUIS EN L'ILE,PARIS 4,75104,75,POINT (2.3560002 48.8695518),48.8695518,2.3560002
10.71C,rue,GOUBET,PARIS 19,75119,75,POINT (2.2596875 48.8830005),48.8830005,2.2596875
10.71C,rue,LA FAYETTE,PARIS 10,75110,75,POINT (2.2575484 48.8859434),48.8859434,2.2575484
10.71C,boulevard,MALESHERBES,PARIS 17,75117,75,POINT (2.2723747 48.9674593),48.9674593,2.2723747
10.71C,rue,PIERRE CURIE,LA COURNEUVE,93027,93,POINT (2.2917139 48.8724953),48.8724953,2.2917139
10.71C,rue,DE L OISE,ARNOUVILLE,95019,95,POINT (2.358298 48.8889081),48.8889081,2.358298
10.71C,rue,DE MENILMONTANT,PARIS 20,75120,75,POINT (2.3510906 48.8953716),48.8953716,2.3510906
10.71C,rue,DE VAUGIRARD,PARIS 15,75115,75,POINT (2.4428327 48.8624167),48.8624167,2.4428327
