activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.73Z,rue,DU 19 MARS 1962,SAINT-DENIS,93200,93,POINT (2.3331354 48.887017),2.3331354,48.887017
47.73Z,,RHIN ET DANUBE,BOULOGNE-BILLANCOURT,92100,92,POINT (2.2900234 48.8909778),2.2900234,48.8909778
47.73Z,boulevard,DE SEBASTOPOL,PARIS 4,75004,75,POINT (2.8717589 48.1768108),2.8717589,48.1768108
47.73Z,rue,DU FG POISSONNIERE,PARIS 9,75009,75,POINT (3.0834571 48.8128316),3.0834571,48.8128316
47.73Z,avenue,PIERRE BROSSOLETTE,CRETEIL,94000,94,POINT (2.3086972 48.896312),2.3086972,48.896312
47.73Z,rue,DE PARIS,MONTREUIL,93100,93,POINT (2.4989938 48.9517216),2.4989938,48.9517216
47.73Z,place,DES ETANGS,AULNAY-SOUS-BOIS,93600,93,POINT (2.448305 48.9218622),2.448305,48.9218622
47.73Z,rue,DU 11 NOVEMBRE 1918,POISSY,78300,78,POINT (2.5059898 48.9334057),2.5059898,48.9334057
47.73Z,rue,PIERRE FONTAINE,PARIS 9,75009,75,POINT (2.25178108776655 48.820087),2.25178108776655,48.820087
47.73Z,rue,DE PASSY,PARIS 16,75016,75,POINT (2.4853392 48.7512335),2.4853392,48.7512335
47.73Z,rue,DE LA MOGOTTE,TORCY,77200,77,POINT (1.9852711 49.0256153),1.9852711,49.0256153
47.73Z,place,PIERRE CURIE,FRESNES,94260,94,POINT (2.2408897 49.0199269),2.2408897,49.0199269
47.73Z,avenue,DE VERDUN,ISSY-LES-MOULINEAUX,92130,92,POINT (2.3747298 48.9918724),2.3747298,48.9918724
47.73Z,rue,DE PARIS,BIEVRES,91570,91,POINT (2.2898377 48.9097511),2.2898377,48.9097511
47.73Z,avenue,LEDRU ROLLIN,PARIS 12,75012,75,POINT (2.5855038 48.8465564),2.5855038,48.8465564
47.73Z,avenue,FLOUQUET,L'HAY-LES-ROSES,94240,94,POINT (2.6760195 49.072777),2.6760195,49.072777
47.73Z,boulevard,ARISTIDE BRIAND,SAVIGNY-SUR-ORGE,91600,91,POINT (2.2652408 48.8465085),2.2652408,48.8465085
47.73Z,rue,ARISTIDE BRIAND ET,COUBERT,77170,77,POINT (2.5666667 48.8293297),2.5666667,48.8293297
47.73Z,rue,DE LEVIS,PARIS 17,75017,75,POINT (2.3344606 48.8811067),2.3344606,48.8811067
47.73Z,avenue,DE LA REPUBLIQUE,FONTENAY-SOUS-BOIS,94120,94,POINT (2.2616027 48.8861992),2.2616027,48.8861992
47.73Z,place,DE LA NOUVELLE GARE,EPINAY-SUR-SEINE,93800,93,POINT (2.3227378 48.8711584),2.3227378,48.8711584
47.73Z,place,TAVARNELLE VAL DI PESA,GAGNY,93220,93,POINT (2.144577 48.8779938),2.144577,48.8779938
47.73Z,,DE LA REINE,BOULOGNE-BILLANCOURT,92100,92,POINT (2.3279926 48.8708317),2.3279926,48.8708317
47.73Z,avenue,PAUL DOUMER,RUEIL-MALMAISON,92500,92,POINT (2.2848023 48.8830259),2.2848023,48.8830259
47.73Z,rue,PASTEUR,BOISSY-SOUS-SAINT-YON,91790,91,POINT (2.3821163 48.8759717),2.3821163,48.8759717
47.73Z,rue,DE COURCELLES,PARIS 8,75008,75,POINT (2.5330871 48.7661614),2.5330871,48.7661614
47.73Z,avenue,MAURICE THOREZ,CHAMPIGNY-SUR-MARNE,94500,94,POINT (2.5242077 48.9500521),2.5242077,48.9500521
47.73Z,rue,SAINT CHARLES,PARIS 15,75015,75,POINT (2.3362217 48.8547705),2.3362217,48.8547705
47.73Z,rue,GERARD PHILIPE,TRAPPES,78190,78,POINT (2.2575484 48.8859434),2.2575484,48.8859434
47.73Z,rue,DE TOLBIAC,PARIS 13,75013,75,POINT (2.4200093 48.6377365),2.4200093,48.6377365
47.73Z,place,MARCEL SEMBAT,MORSANG-SUR-ORGE,91390,91,POINT (2.3735343 48.7720081),2.3735343,48.7720081
47.73Z,rue,ANDRE JOINEAU,LE PRE-SAINT-GERVAIS,93310,93,POINT (2.3354311 48.8814158),2.3354311,48.8814158
47.73Z,place,ANATOLE FRANCE,VIGNEUX-SUR-SEINE,91270,91,POINT (2.144577 48.8779938),2.144577,48.8779938
47.73Z,rue,DES HAUTS CHATEAUX,NOISY-LE-GRAND,93160,93,POINT (2.481034 48.7005134),2.481034,48.7005134
47.73Z,rue,PETIT,PARIS 19,75019,75,POINT (1.7008182 49.0006438),1.7008182,49.0006438
47.73Z,rue,GABRIEL PERI,MASSY,91300,91,POINT (2.2917139 48.8724953),2.2917139,48.8724953
47.73Z,rue,DU FBG SAINT DENIS,PARIS 10,75010,75,POINT (2.3253388 48.8828995),2.3253388,48.8828995
47.73Z,boulevard,PEREIRE,PARIS 17,75017,75,POINT (2.5673649 48.900271),2.5673649,48.900271
47.73Z,rue,GUY MOQUET,PARIS 17,75017,75,POINT (2.40865235 48.6559412),2.40865235,48.6559412
47.73Z,rue,AUGUSTE MOUNIE,ANTONY,92160,92,POINT (2.2375639 49.1365144),2.2375639,49.1365144
47.73Z,rue,GASTON PLUCHON,DAMMARIE-LES-LYS,77190,77,POINT (2.301974 48.8207037),2.301974,48.8207037
47.73Z,rue,DES DEUX FRERES,LE CHESNAY-ROCQUENCOURT,78150,78,POINT (2.3291519 48.9584715),2.3291519,48.9584715
47.73Z,rue,JEAN MERMOZ,ROSNY-SOUS-BOIS,93110,93,POINT (2.3293226 48.6714137),2.3293226,48.6714137
47.73Z,rue,SAINT BLAISE,PARIS 20,75020,75,POINT (2.152438 48.9453618),2.152438,48.9453618
47.73Z,place,NOTRE DAME DES ANGES,MONTFERMEIL,93370,93,POINT (2.8250877 48.8498336),2.8250877,48.8498336
47.73Z,place,DE LEVIS,PARIS 17,75017,75,POINT (2.3695869 48.8852901),2.3695869,48.8852901
47.73Z,rue,HENRI AMODRU,GIF-SUR-YVETTE,91190,91,POINT (1.8563342 48.6970366),1.8563342,48.6970366
47.73Z,rue,ERIC DE SAINT SAUVEUR,SARCELLES,95200,95,POINT (2.3607863 48.9656802),2.3607863,48.9656802
47.73Z,avenue,FELIX FAURE,PARIS 15,75015,75,POINT (2.6009509 48.3397355),2.6009509,48.3397355
47.73Z,avenue,LOMBART,FONTENAY-AUX-ROSES,92260,92,POINT (2.6926899 48.3187382),2.6926899,48.3187382
47.73Z,boulevard,JEAN JAURES,BOULOGNE-BILLANCOURT,92100,92,POINT (2.3922043 48.9034035),2.3922043,48.9034035
47.73Z,rue,DE REMUSAT,PARIS 16,75016,75,POINT (2.8144655 48.8674381),2.8144655,48.8674381
47.73Z,rue,MODIGLIANI,PARIS 15,75015,75,POINT (2.3328729 48.8278561),2.3328729,48.8278561
47.73Z,rue,LAVOISIER,ROSNY-SOUS-BOIS,93110,93,POINT (2.3060814 48.7336271),2.3060814,48.7336271
47.73Z,rue,AUGUSTE HUDIER,OZOIR-LA-FERRIERE,77330,77,POINT (2.2799401 48.842848),2.2799401,48.842848
