activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
10.71C,rue,RAMPONNEAU,PARIS 20,75020,75,POINT (48.9019918 2.1339296),2.1339296,48.9019918
10.71C,rue,DU PORT AUX DAMES,DRAVEIL,91210,91,POINT (48.8207871 2.3638832),2.3638832,48.8207871
10.71C,rue,SAINT ETIENNE,MEAUX,77100,77,POINT (48.8749406 2.3429289),2.3429289,48.8749406
10.71C,rue,HOUDAN,SCEAUX,92330,92,POINT (49.048819 1.6018687),1.6018687,49.048819
10.71C,rue,DE NANTES,PARIS 19,75019,75,POINT (49.1317257 2.168804),2.168804,49.1317257
10.71C,avenue,DE LA MOTTE PICQUET,PARIS 7,75007,75,POINT (48.7935899 2.1427499),2.1427499,48.7935899
10.71C,rue,DU PETIT MONTESSON,LE VESINET,78110,78,POINT (48.8482587 2.3776502),2.3776502,48.8482587
10.71C,avenue,DE CHOISY,PARIS 13,75013,75,POINT (48.8113925 2.3001696),2.3001696,48.8113925
10.71C,rue,CADET,PARIS 9,75009,75,POINT (48.7875104 2.3184076),2.3184076,48.7875104
10.71C,rue,CHARLES DE GAULLE,FRENEUSE,78840,78,POINT (48.8566136 2.3606162),2.3606162,48.8566136
10.71C,rue,THIEBAULT,NESLES-LA-VALLEE,95690,95,POINT (48.8594214 2.4431597),2.4431597,48.8594214
10.71C,rue,DES CHANTIERS,VERSAILLES,78000,78,POINT (48.8246659 2.3750226),2.3750226,48.8246659
10.71C,rue,D ALIGRE,PARIS 12,75012,75,POINT (48.6404575 2.2372118),2.2372118,48.6404575
10.71C,avenue,DE PARIS,CHATILLON,92320,92,POINT (48.988445850000005 2.3189391186840194),2.3189391186840194,48.988445850000005
10.71C,avenue,DU GENERAL LECLERC,BOURG-LA-REINE,92340,92,POINT (48.8576284 2.3527546),2.3527546,48.8576284
10.71C,rue,DES ROSIERS,PARIS 4,75004,75,POINT (48.8471462 2.4714495),2.4714495,48.8471462
10.71C,rue,DE STALINGRAD,MONTREUIL,93100,93,POINT (48.5261906 2.681069),2.681069,48.5261906
10.71C,rue,DU DESSOUS DES BERGES,PARIS 13,75013,75,POINT (48.8513423 2.3290882),2.3290882,48.8513423
10.71C,place,ROGER LEVANNEUR,MONTMORENCY,95160,95,POINT (48.87786 2.3913424),2.3913424,48.87786
10.71C,rue,DU TEMPLE,PARIS 4,75004,75,POINT (48.8820538 2.3155897),2.3155897,48.8820538
10.71C,rue,DES ORMESSONS,VAUX-LE-PENIL,77000,77,POINT (48.9035206 2.3309816),2.3309816,48.9035206
10.71C,rue,DU CHERCHE MIDI,PARIS 6,75006,75,POINT (49.0004977 2.1087314),2.1087314,49.0004977
10.71C,,DE GISY,BIEVRES,91570,91,POINT (48.9721887 2.2562921),2.2562921,48.9721887
10.71C,boulevard,DE GRENELLE,PARIS 15,75015,75,POINT (48.97176225 2.2567840838390802),2.2567840838390802,48.97176225
10.71C,rue,DE CRIMEE,PARIS 19,75019,75,POINT (48.9862716 2.34739),2.34739,48.9862716
10.71C,rue,DE LEVIS,PARIS 17,75017,75,POINT (48.8589434 2.2115619),2.2115619,48.8589434
10.71C,place,DU 8 MAI 1945,FLEURY-MEROGIS,91700,91,POINT (48.3403942 2.704901),2.704901,48.3403942
10.71C,place,DU 8 MAI 1945,FLEURY-MEROGIS,91700,91,POINT (48.9471866 2.5491121),2.5491121,48.9471866
10.71C,avenue,GABRIEL PERI,SAINT-OUEN-SUR-SEINE,93400,93,POINT (48.9471866 2.5491121),2.5491121,48.9471866
10.71C,rue,DESIRE CLEMENT,CONFLANS-SAINTE-HONORINE,78700,78,POINT (48.5854943 2.4708389),2.4708389,48.5854943
10.71C,boulevard,CHARLES DE GAULLE,SANNOIS,95110,95,POINT (48.9471866 2.5491121),2.5491121,48.9471866
10.71C,place,DU GENERAL LECLERC,SANNOIS,95110,95,POINT (48.9050393 2.5934818),2.5934818,48.9050393
10.71C,rue,DU GENERAL LECLERC,GROSLAY,95410,95,POINT (48.9020282 2.6028075),2.6028075,48.9020282
10.71C,boulevard,DE LA REPUBLIQUE,SAINT-CLOUD,92210,92,POINT (48.8571961 2.3364272),2.3364272,48.8571961
10.71C,rue,DU GENERAL DE GAULLE,BOURRON-MARLOTTE,77780,77,POINT (48.903124 2.3963476),2.3963476,48.903124
10.71C,avenue,PIERRE BEREGOVOY,VILLEPINTE,93420,93,POINT (48.5706143 2.1698765),2.1698765,48.5706143
10.71C,avenue,PIERRE BEREGOVOY,VILLEPINTE,93420,93,POINT (48.879215 2.1825157),2.1825157,48.879215
10.71C,rue,JULES ALEX GEOFFROY,CORBEIL-ESSONNES,91100,91,POINT (48.8791561 2.7048184),2.7048184,48.8791561
10.71C,avenue,PIERRE BEREGOVOY,VILLEPINTE,93420,93,POINT (48.8867891 2.2835858),2.2835858,48.8867891
10.71C,avenue,CLAUDE BERNARD,CHELLES,77500,77,POINT (48.8867891 2.2835858),2.2835858,48.8867891
10.71C,rue,LAENNEC,CHELLES,77500,77,POINT (48.8248041 2.2818471),2.2818471,48.8248041
10.71C,rue,DE SEINE,PARIS 6,75006,75,POINT (49.0905488 3.0755747),3.0755747,49.0905488
