activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.61Z,rue,MALEBRANCHE,PARIS 5,75105,75,POINT (2.3426944 48.8462406),2.3426944,48.8462406
47.61Z,avenue,GUY DE MAUPASSANT,CHATOU,78146,78,POINT (2.1558101 48.902276),2.1558101,48.902276
47.61Z,rue,GABRIEL PERI,SAINT-DENIS,93066,93,POINT (2.3565008 48.9395302),2.3565008,48.9395302
47.61Z,rue,DE L ECOLE POLYTECHNIQUE,PARIS 5,75105,75,POINT (2.3479718 48.8475248),2.3479718,48.8475248
47.61Z,rue,DES POISSONNIERS,PARIS 18,75118,75,POINT (2.3509121 48.8868577),2.3509121,48.8868577
47.61Z,rue,SAINT CHARLES,PARIS 15,75115,75,POINT (2.2822318 48.8428525),2.2822318,48.8428525
47.61Z,avenue,VERDIER,MONTROUGE,92049,92,POINT (2.3140366 48.8160401),2.3140366,48.8160401
47.61Z,rue,LAVOISIER,PARIS 8,75108,75,POINT (2.3214316 48.8738315),2.3214316,48.8738315
47.61Z,rue,D ALSACE,PARIS 10,75110,75,POINT (2.358588 48.8787719),2.358588,48.8787719
47.61Z,rue,RAMBUTEAU,PARIS 4,75104,75,POINT (2.3469106 48.8626358),2.3469106,48.8626358
47.61Z,rue,VERNET,PONTAULT-COMBAULT,77373,77,POINT (2.5998627287292844 48.8082158),2.5998627287292844,48.8082158
47.61Z,rue,DE DUNKERQUE,PARIS 10,75110,75,POINT (2.3566883 48.8797254),2.3566883,48.8797254
47.61Z,rue,D AMSTERDAM,PARIS 9,75109,75,POINT (2.3270663 48.8808667),2.3270663,48.8808667
47.61Z,rue,DE L ODEON,PARIS 6,75106,75,POINT (2.3385453 48.8513559),2.3385453,48.8513559
47.61Z,rue,DES ROSIERS,SAINT-OUEN-SUR-SEINE,93070,93,POINT (2.3381955 48.9046422),2.3381955,48.9046422
47.61Z,rue,ROUVET,PARIS 19,75119,75,POINT (2.3829147 48.8943485),2.3829147,48.8943485
47.61Z,rue,DE VAUGIRARD,PARIS 15,75115,75,POINT (2.336455 48.8492162),2.336455,48.8492162
47.61Z,boulevard,SAINT MICHEL,PARIS 6,75106,75,POINT (2.343631 48.8529342),2.343631,48.8529342
47.61Z,rue,SERPENTE,PARIS 6,75106,75,POINT (2.343246 48.8518873),2.343246,48.8518873
47.61Z,avenue,DE SUFFREN,PARIS 15,75115,75,POINT (2.2933125 48.8561799),2.2933125,48.8561799
47.61Z,boulevard,DE GRENELLE,PARIS 15,75115,75,POINT (2.2899544 48.8536669),2.2899544,48.8536669
47.61Z,rue,DUPETIT THOUARS,PARIS 3,75103,75,POINT (2.3615974 48.8654875),2.3615974,48.8654875
47.61Z,boulevard,VOLTAIRE,PARIS 11,75111,75,POINT (2.3667308 48.8659584),2.3667308,48.8659584
47.61Z,quai,DE LA MEGISSERIE,PARIS 1,75101,75,POINT (2.3443842 48.8579631),2.3443842,48.8579631
47.61Z,rue,HENRI BARBUSSE,PARIS 5,75105,75,POINT (2.3393246 48.8432817),2.3393246,48.8432817
47.61Z,boulevard,SAINT MICHEL,PARIS 5,75105,75,POINT (2.3439199 48.8525313),2.3439199,48.8525313
47.61Z,rue,DE RIVOLI,PARIS 1,75101,75,POINT (2.3302255 48.864248),2.3302255,48.864248
47.61Z,rue,YVONNE LE TAC,PARIS 18,75118,75,POINT (2.3400379 48.8841969),2.3400379,48.8841969
47.61Z,rue,CHASLES,RAMBOUILLET,78517,78,POINT (1.8301216 48.6426652),1.8301216,48.6426652
47.61Z,rue,DES DAMES,PARIS 17,75117,75,POINT (2.324902 48.8848298),2.324902,48.8848298
47.61Z,rue,DES MOINES,PARIS 17,75117,75,POINT (2.318765 48.8882843),2.318765,48.8882843
